phenotype,accuracy,f1_score
(((conv*1)pool-)*1)fc*0*256*lr-0.01,0.47989898920059204,0.4015013873577118
(((conv*1)pool-dropout)*2)fc*2*256*lr-0.0001,0.7509090900421143,0.7517651915550232
(((conv*3)bnorm-pool-)*2)fc*1*256*lr-0.0001,0.7232323487599691,0.7231886982917786
(((conv*3)bnorm-pool-dropout)*3)fc*0*64*lr-0.001,0.8252525130907694,0.8264607191085815
(((conv*2)pool-dropout)*2)fc*0*512*lr-0.01,0.38373737533887226,0.12143911421298981
(((conv*3)pool-)*2)fc*1*512*lr-0.01,0.09959596147139867,0.0
(((conv*2)bnorm-pool-dropout)*1)fc*2*256*lr-0.0001,0.7129292885462443,0.7114098072052002
(((conv*1)bnorm-)*1)fc*2*64*lr-0.01,0.0989899014433225,0.0
(((conv*1)bnorm-pool-)*3)fc*0*64*lr-0.1,0.6075757543245951,0.6432647109031677
(((conv*1)bnorm-pool-)*3)fc*1*256*lr-0.0001,0.6922222177187601,0.6871652007102966
(((conv*2)bnorm-)*3)fc*2*256*lr-0.001,0.704444428284963,0.7119311094284058
(((conv*2)bnorm-)*3)fc*0*256*lr-0.0001,0.6255555550257365,0.6239912509918213
(((conv*2)pool-)*3)fc*0*512*lr-0.0001,0.7154545386632284,0.7132841348648071
(((conv*3))*3)fc*0*128*lr-0.1,0.09848485141992569,0.0
(((conv*3)bnorm-pool-)*2)fc*0*128*lr-0.1,0.4764646490414937,0.4961595833301544
(((conv*1))*3)fc*1*512*lr-0.0001,0.6723232467969259,0.6802890300750732
(((conv*1)bnorm-pool-dropout)*2)fc*1*512*lr-0.1,0.09989899148543675,0.0
(((conv*1)pool-)*1)fc*2*256*lr-0.1,0.09909091144800186,0.0
(((conv*1)pool-)*2)fc*0*512*lr-0.01,0.5382828513781229,0.48926517367362976
(((conv*1)pool-)*3)fc*0*128*lr-0.1,0.10171717156966527,0.0
(((conv*2)bnorm-)*3)fc*2*128*lr-0.0001,0.6695959766705831,0.6820996999740601
(((conv*3)bnorm-pool-dropout)*1)fc*2*256*lr-0.01,0.09717171887556712,0.0
(((conv*2)bnorm-pool-dropout)*1)fc*1*256*lr-0.01,0.6706060767173767,0.6615369319915771
(((conv*3)bnorm-pool-)*2)fc*0*128*lr-0.01,0.7705050309499105,0.7766950130462646
(((conv*2)bnorm-)*2)fc*1*64*lr-0.001,0.6556565562884012,0.6698893904685974
(((conv*2))*2)fc*0*128*lr-0.001,0.6191919247309366,0.6098300814628601
(((conv*3)bnorm-)*3)fc*2*256*lr-0.1,0.10151515404383342,0.0
(((conv*1)pool-dropout)*3)fc*2*64*lr-0.1,0.10505050669113795,0.0
(((conv*1)bnorm-)*2)fc*0*64*lr-0.0001,0.5984848737716675,0.5945236086845398
(((conv*3)bnorm-pool-)*1)fc*1*512*lr-0.01,0.6494949460029602,0.6527408957481384
(((conv*1))*2)fc*0*64*lr-0.1,0.09929293145736058,0.0
(((conv*1))*2)fc*0*64*lr-0.01,0.3951515158017476,0.2993963360786438
(((conv*3)pool-)*3)fc*1*128*lr-0.01,0.09959596147139867,0.0
(((conv*1)pool-)*3)fc*0*256*lr-0.1,0.1026262640953064,0.0
(((conv*3)bnorm-)*2)fc*1*64*lr-0.001,0.6494949460029602,0.6606191992759705
(((conv*3)bnorm-pool-)*3)fc*1*64*lr-0.001,0.8377777536710104,0.8425670266151428
(((conv*1))*2)fc*0*512*lr-0.0001,0.6424242258071899,0.6371570229530334
(((conv*2))*1)fc*0*512*lr-0.001,0.608383854230245,0.5992043018341064
(((conv*1)bnorm-pool-)*2)fc*0*256*lr-0.1,0.6016161640485128,0.5879997611045837
(((conv*3))*1)fc*1*64*lr-0.01,0.4317171672979991,0.4125455319881439
(((conv*2)bnorm-)*3)fc*2*64*lr-0.01,0.09696969638268153,0.0
(((conv*1)pool-)*2)fc*1*512*lr-0.0001,0.6958585778872172,0.697943389415741
(((conv*3)bnorm-pool-dropout)*3)fc*2*64*lr-0.1,0.10323232412338257,0.0
(((conv*3)bnorm-pool-dropout)*3)fc*1*256*lr-0.1,0.10202020406723022,0.0
(((conv*2)bnorm-)*3)fc*0*64*lr-0.1,0.2807070662577947,0.2958619296550751
(((conv*1)bnorm-)*1)fc*2*128*lr-0.1,0.1018181840578715,0.0
(((conv*2))*1)fc*0*128*lr-0.1,0.10404040416081746,0.0
(((conv*2)bnorm-)*2)fc*0*128*lr-0.01,0.5473737517992655,0.5414282083511353
(((conv*2))*3)fc*0*256*lr-0.001,0.653030276298523,0.6537061929702759
(((conv*1)bnorm-pool-dropout)*1)fc*2*128*lr-0.01,0.5817171533902487,0.5590967535972595
(((conv*3)pool-dropout)*1)fc*0*256*lr-0.0001,0.7391919294993082,0.7467283010482788
(((conv*2))*2)fc*1*64*lr-0.0001,0.6521212061246237,0.6566464304924011
(((conv*3))*2)fc*0*64*lr-0.001,0.6636363665262858,0.6632706522941589
(((conv*3)pool-)*2)fc*2*256*lr-0.001,0.7485858599344889,0.7536930441856384
(((conv*1))*1)fc*2*64*lr-0.01,0.09838383893171947,0.0
(((conv*2))*1)fc*2*128*lr-0.0001,0.6285858551661173,0.6204540729522705
(((conv*1)bnorm-pool-dropout)*3)fc*2*128*lr-0.01,0.7060606082280477,0.7393358945846558
(((conv*3)bnorm-)*1)fc*2*128*lr-0.1,0.09373737374941508,0.0
(((conv*1)pool-dropout)*3)fc*0*256*lr-0.001,0.7492929299672445,0.7461154460906982
(((conv*2)bnorm-pool-)*1)fc*0*64*lr-0.0001,0.6389898856480917,0.6342190504074097
(((conv*3))*3)fc*1*128*lr-0.001,0.09929293145736058,0.0
(((conv*1)pool-)*2)fc*0*512*lr-0.1,0.0961616188287735,0.0
(((conv*3)bnorm-)*3)fc*1*64*lr-0.01,0.10070707152287166,0.0
(((conv*2))*2)fc*2*64*lr-0.0001,0.6528282761573792,0.6522600650787354
(((conv*1)bnorm-pool-dropout)*3)fc*1*64*lr-0.01,0.7263636390368143,0.7125054597854614
(((conv*3)pool-)*3)fc*2*512*lr-0.001,0.7504040400187174,0.7592382431030273
(((conv*2)pool-dropout)*3)fc*0*256*lr-0.0001,0.8160606026649475,0.8372405171394348
(((conv*3)bnorm-pool-)*2)fc*0*512*lr-0.0001,0.6876767675081888,0.6921156644821167
(((conv*1))*2)fc*1*128*lr-0.01,0.4080808063348134,0.39025530219078064
(((conv*1)bnorm-pool-)*2)fc*2*512*lr-0.1,0.0982828289270401,0.0
(((conv*2))*2)fc*0*64*lr-0.001,0.6340403954188029,0.6222031116485596
(((conv*3)pool-dropout)*2)fc*0*512*lr-0.1,0.1003030315041542,0.0
(((conv*1)pool-)*3)fc*2*64*lr-0.01,0.10202020406723022,0.0
(((conv*3)bnorm-)*2)fc*2*256*lr-0.0001,0.6724242568016052,0.6583213806152344
(((conv*3)bnorm-pool-dropout)*1)fc*1*256*lr-0.1,0.10444444666306178,0.0
(((conv*3)bnorm-)*1)fc*1*512*lr-0.001,0.6333333253860474,0.6342286467552185
(((conv*1)bnorm-pool-)*2)fc*2*512*lr-0.0001,0.6859595974286398,0.6933033466339111
(((conv*2)pool-dropout)*3)fc*0*256*lr-0.001,0.8316161433855692,0.8414258360862732
(((conv*1)pool-)*3)fc*0*64*lr-0.1,0.10212121407190959,0.0
(((conv*2))*2)fc*2*256*lr-0.1,0.10010101149479549,0.0
(((conv*1)pool-dropout)*3)fc*0*512*lr-0.001,0.7415151596069336,0.7326663136482239
(((conv*3)bnorm-)*1)fc*1*64*lr-0.1,0.09989899148543675,0.0
(((conv*3)pool-)*2)fc*2*64*lr-0.0001,0.722929318745931,0.728011429309845
(((conv*2)pool-dropout)*1)fc*2*256*lr-0.01,0.47777776916821796,0.44516828656196594
(((conv*2)pool-dropout)*3)fc*1*128*lr-0.001,0.839090903600057,0.8382120728492737
(((conv*1)pool-)*3)fc*0*64*lr-0.01,0.600303033987681,0.5821695923805237
(((conv*2))*2)fc*0*128*lr-0.1,0.10222222159306209,0.0
(((conv*3)pool-)*3)fc*1*512*lr-0.1,0.09848485141992569,0.0
(((conv*2)pool-dropout)*2)fc*0*256*lr-0.0001,0.7872727314631144,0.8033100962638855
(((conv*1)bnorm-)*2)fc*1*512*lr-0.0001,0.6761616269747416,0.6783341765403748
(((conv*2))*1)fc*0*256*lr-0.1,0.1018181840578715,0.0
(((conv*1)bnorm-pool-)*3)fc*0*512*lr-0.0001,0.6829292972882589,0.6921716928482056
(((conv*3)bnorm-)*2)fc*1*256*lr-0.01,0.09959596147139867,0.0
(((conv*3)pool-dropout)*3)fc*0*256*lr-0.1,0.10222222159306209,0.0
(((conv*3)pool-dropout)*2)fc*1*256*lr-0.1,0.10141414403915405,0.0
(((conv*3)bnorm-pool-dropout)*2)fc*1*512*lr-0.1,0.0981818214058876,0.0
(((conv*3))*2)fc*0*512*lr-0.1,0.10202020406723022,0.0
(((conv*1))*1)fc*2*256*lr-0.001,0.5884848237037659,0.5885964632034302
(((conv*2)pool-)*1)fc*2*512*lr-0.0001,0.6975757479667664,0.698996901512146
(((conv*3)bnorm-pool-)*3)fc*0*512*lr-0.001,0.7976767818133036,0.8140873312950134
(((conv*3)pool-dropout)*2)fc*1*64*lr-0.0001,0.8074747522672018,0.8188313245773315
